expense_id,employee_id,expense_type,expense_date,submit_date,amount,currency,vendor_name,invoice_number,approver
EXP-2026-0401,E-EMP-204,hotel,2026-04-11,2026-04-15,1200.00,CNY,如家精选酒店苏州相城店,RH-20260411-8821,INTERN_LIU
EXP-2026-0402,E-EMP-204,hotel,2026-04-12,2026-04-15,980.00,CNY,汉庭酒店苏州相城店,HT-20260412-3306,INTERN_LIU
EXP-2026-0403,E-EMP-204,taxi,2026-04-11,2026-04-15,350.00,CNY,滴滴出行,DD-20260411-7711,INTERN_LIU
EXP-2026-0404,E-EMP-204,meal,2026-04-11,2026-04-15,420.00,CNY,沙县小吃苏州北站店,SX-20260411-0908,INTERN_LIU
EXP-2026-0405,E-EMP-204,office,2026-04-11,2026-04-15,1880.00,CNY,得力办公用品旗舰店,DL-20260411-5510,INTERN_LIU
EXP-2026-0406,E-EMP-204,hotel,2026-05-10,2026-05-14,1150.00,CNY,如家精选酒店无锡新区店,RH-20260510-8821,INTERN_LIU
EXP-2026-0407,E-EMP-204,hotel,2026-05-11,2026-05-14,960.00,CNY,汉庭酒店无锡新区店,HT-20260511-3306,INTERN_LIU
EXP-2026-0408,E-EMP-204,taxi,2026-05-10,2026-05-14,320.00,CNY,滴滴出行,DD-20260510-7711,INTERN_LIU
EXP-2026-0409,E-EMP-204,meal,2026-05-10,2026-05-14,380.00,CNY,兰州拉面无锡新区店,LZ-20260510-0203,INTERN_LIU
EXP-2026-0410,E-EMP-204,office,2026-05-10,2026-05-14,1760.00,CNY,晨光文具官方旗舰店,CM-20260510-4499,INTERN_LIU
EXP-2026-0411,E-EMP-300,hotel,2026-04-11,2026-04-15,1200.00,CNY,如家精选酒店苏州相城店,RH-20260411-8821,WANG_SHANSHAN
EXP-2026-0412,E-EMP-300,hotel,2026-04-11,2026-04-14,880.00,CNY,锦江之星苏州火车站店,JJ-20260411-1122,LI_GANG
EXP-2026-0413,E-EMP-300,meal,2026-04-11,2026-04-14,150.00,CNY,麦当劳苏州北站餐厅,MC-20260411-7741,LI_GANG
EXP-2026-0414,E-EMP-300,taxi,2026-04-11,2026-04-14,85.00,CNY,滴滴出行,DD-20260411-8802,LI_GANG
EXP-2026-0415,E-EMP-450,hotel,2026-04-25,2026-04-30,750.00,CNY,全季酒店杭州萧山店,QJ-20260425-2210,ZHAO_PM
EXP-2026-0416,E-EMP-450,taxi,2026-04-25,2026-04-30,220.00,CNY,滴滴出行,DD-20260425-3030,ZHAO_PM
EXP-2026-0417,E-EMP-450,meal,2026-04-25,2026-04-30,180.00,CNY,外婆家杭州萧山店,WPJ-20260425-0405,ZHAO_PM
EXP-2026-0418,E-EMP-501,hotel,2026-03-14,2026-03-18,680.00,CNY,莫泰168上海虹桥店,MT-20260314-6601,WANG_SHANSHAN
EXP-2026-0419,E-EMP-501,taxi,2026-03-14,2026-03-18,160.00,CNY,滴滴出行,DD-20260314-9012,WANG_SHANSHAN
EXP-2026-0420,E-EMP-501,meal,2026-03-14,2026-03-18,120.00,CNY,真功夫上海虹桥店,ZG-20260314-0707,WANG_SHANSHAN
EXP-2026-0421,E-EMP-204,office,2026-06-05,2026-06-09,560.00,CNY,得力办公用品旗舰店,DL-20260605-3322,INTERN_LIU
EXP-2026-0422,E-EMP-204,hotel,2026-06-06,2026-06-09,920.00,CNY,汉庭酒店昆山花桥店,HT-20260606-4411,INTERN_LIU
EXP-2026-0423,E-EMP-204,meal,2026-06-06,2026-06-09,210.00,CNY,黄焖鸡米饭昆山花桥店,HJJ-20260606-0506,INTERN_LIU
EXP-2026-0424,E-EMP-602,hotel,2026-02-07,2026-02-11,820.00,CNY,维也纳酒店广州番禺店,WYN-20260207-8080,SUN_DIRECTOR
EXP-2026-0425,E-EMP-602,meal,2026-02-07,2026-02-11,260.00,CNY,陶然居广州番禺店,TR-20260207-0608,SUN_DIRECTOR
