expense_id,employee_id,expense_type,expense_date,submit_date,amount,currency,vendor_name,invoice_number,approver
E-1001,E-EMP-201,meal,2026-03-14,2026-03-16,480.00,CNY,沙县小吃(工厂店),INV-20260314-201,E-EMP-201
E-1002,E-EMP-201,meal,2026-03-14,2026-03-16,490.00,CNY,兰州拉面(工厂店),INV-20260314-202,E-EMP-201
E-1003,E-EMP-201,meal,2026-03-14,2026-03-16,980.00,CNY,员工食堂(月结),INV-20260314-203,E-EMP-201
E-1004,E-EMP-201,taxi,2026-03-15,2026-03-16,120.00,CNY,滴滴出行(企业版),INV-20260315-204,E-EMP-201
E-1005,E-EMP-201,hotel,2026-03-14,2026-03-17,999.00,CNY,如家酒店(苏州工业园店),INV-20260314-205,E-EMP-201
E-1006,E-EMP-201,hotel,2026-03-15,2026-03-17,999.00,CNY,汉庭酒店(苏州工业园店),INV-20260315-206,E-EMP-201
E-1007,E-EMP-202,office,2026-03-14,2026-03-16,350.00,CNY,得力办公用品官方旗舰店,INV-20260314-207,E-MGR-301
E-1008,E-EMP-203,meal,2026-03-16,2026-03-18,85.00,CNY,肯德基(园区店),INV-20260316-208,E-MGR-302
E-1009,E-EMP-204,taxi,2026-03-17,2026-03-19,45.00,CNY,滴滴出行(企业版),INV-20260317-209,E-MGR-303
E-1010,E-EMP-205,office,2026-03-18,2026-03-20,1280.00,CNY,晨光文具京东自营,INV-20260318-210,E-MGR-304
