po_id,vendor_id,buyer_id,category,item,unit,region,quantity,unit_price,total_amount,currency,order_date,approval_date,receipt_date
PO-2024-1001,V-001,E-201,金属件,CNC加工铝合金外壳,件,华南,500,18.0,9000.0,CNY,2024-01-05,2024-01-06,2024-01-12
PO-2024-1002,V-001,E-201,金属件,CNC加工铝合金外壳,件,华南,600,18.0,10800.0,CNY,2024-01-05,2024-01-06,2024-01-12
PO-2024-1003,V-001,E-201,金属件,CNC加工铝合金外壳,件,华南,550,18.0,9900.0,CNY,2024-01-05,2024-01-07,2024-01-13
PO-2024-1004,V-002,E-201,电子件,主控板PCBA,片,华南,1000,8.5,8500.0,CNY,2024-01-08,2024-01-09,2024-01-15
PO-2024-1005,V-002,E-201,电子件,主控板PCBA,片,华南,800,8.5,6800.0,CNY,2024-01-08,2024-01-09,2024-01-15
PO-2024-1006,V-002,E-201,电子件,主控板PCBA,片,华南,1200,8.5,10200.0,CNY,2024-01-08,2024-01-10,2024-01-16
PO-2024-1007,V-003,E-201,包材,瓦楞纸外箱,个,华南,3000,2.8,8400.0,CNY,2024-01-10,2024-01-11,2024-01-18
PO-2024-1008,V-003,E-201,包材,瓦楞纸外箱,个,华南,2500,2.8,7000.0,CNY,2024-01-10,2024-01-11,2024-01-18
PO-2024-1009,V-003,E-201,包材,瓦楞纸外箱,个,华南,3500,2.8,9800.0,CNY,2024-01-10,2024-01-12,2024-01-19
PO-2024-1010,V-004,E-201,塑料件,ABS外壳注塑件,件,华南,800,12.0,9600.0,CNY,2024-01-12,2024-01-13,2024-01-20
PO-2024-1011,V-004,E-201,塑料件,ABS外壳注塑件,件,华南,1000,12.0,12000.0,CNY,2024-01-12,2024-01-13,2024-01-20
PO-2024-1012,V-004,E-201,塑料件,ABS外壳注塑件,件,华南,900,12.0,10800.0,CNY,2024-01-12,2024-01-14,2024-01-21
PO-2024-1013,V-005,E-201,设备,贴片机配件,套,华南,2,18500.0,37000.0,CNY,2024-01-15,2024-01-18,2024-01-25
PO-2024-1014,V-005,E-201,设备,贴片机配件,套,华南,1,18500.0,18500.0,CNY,2024-01-15,2024-01-18,2024-01-25
