po_id,vendor_id,buyer_id,category,item,unit,region,quantity,unit_price,total_amount,currency,order_date,approval_date,receipt_date,_source_file,_source_row,_source_sheet
PO-001,V005,B001,工具,标准扳手,件,华东,10.0,100.0,1000.0,CNY,2026-05-01,2026-04-30,2026-05-03,purchase_orders.csv,2,
PO-002,V003,B002,工具,标准扳手,件,华东,10.0,102.0,1020.0,CNY,2026-05-02,2026-05-01,2026-05-04,purchase_orders.csv,3,
PO-003,V004,B003,工具,标准扳手,件,华东,10.0,98.0,980.0,CNY,2026-05-03,2026-05-02,2026-05-05,purchase_orders.csv,4,
PO-004,V005,B004,工具,标准扳手,件,华东,10.0,101.0,1010.0,CNY,2026-05-04,2026-05-03,2026-05-06,purchase_orders.csv,5,
PO-005,V003,B005,工具,标准扳手,件,华东,10.0,99.0,990.0,CNY,2026-05-05,2026-05-04,2026-05-07,purchase_orders.csv,6,
PO-006,V001,B001,工具,标准扳手,件,华东,10.0,180.0,1800.0,CNY,2026-05-06,2026-05-05,2026-05-08,purchase_orders.csv,7,
PO-007,V001,B900,办公,办公耗材,批,华东,1.0,4800.0,4800.0,CNY,2026-06-01,2026-05-31,2026-06-03,purchase_orders.csv,8,
PO-008,V001,B900,办公,办公耗材,批,华东,1.0,4700.0,4700.0,CNY,2026-06-03,2026-06-02,2026-06-05,purchase_orders.csv,9,
PO-009,V001,B900,设备,测试设备,台,华东,1.0,12000.0,12000.0,CNY,2026-06-01,2026-06-04,2026-05-31,purchase_orders.csv,10,
PO-010,V005,B900,设备,普通设备,台,华东,1.0,1000.0,1000.0,CNY,2026-06-10,2026-06-09,2026-06-12,purchase_orders.csv,11,
