po_id,vendor_id,buyer_id,category,item,unit,region,quantity,unit_price,total_amount,currency,order_date,approval_date,receipt_date
PO-001,V005,B001,工具,标准扳手,件,华东,10,100,1000,CNY,2026-05-01,2026-04-30,2026-05-03
PO-002,V003,B002,工具,标准扳手,件,华东,10,102,1020,CNY,2026-05-02,2026-05-01,2026-05-04
PO-003,V004,B003,工具,标准扳手,件,华东,10,98,980,CNY,2026-05-03,2026-05-02,2026-05-05
PO-004,V005,B004,工具,标准扳手,件,华东,10,101,1010,CNY,2026-05-04,2026-05-03,2026-05-06
PO-005,V003,B005,工具,标准扳手,件,华东,10,99,990,CNY,2026-05-05,2026-05-04,2026-05-07
PO-006,V001,B001,工具,标准扳手,件,华东,10,180,1800,CNY,2026-05-06,2026-05-05,2026-05-08
PO-007,V001,B900,办公,办公耗材,批,华东,1,4800,4800,CNY,2026-06-01,2026-05-31,2026-06-03
PO-008,V001,B900,办公,办公耗材,批,华东,1,4700,4700,CNY,2026-06-03,2026-06-02,2026-06-05
PO-009,V001,B900,设备,测试设备,台,华东,1,12000,12000,CNY,2026-06-01,2026-06-04,2026-05-31
PO-010,V005,B900,设备,普通设备,台,华东,1,1000,1000,CNY,2026-06-10,2026-06-09,2026-06-12
